countries,pearson corr,pearson p,spearman corr,spearman p
France_Trinidad and Tobago,0.227317664378146,5.3639614062870145e-05,0.25957243322463913,3.6318790516884267e-06
France_Tunisia,0.5378085776029029,1.2269524860940168e-24,0.5652610094593312,1.431179788984066e-27
France_Turkey,0.39314461678323176,6.69797779133965e-13,0.04752170077564944,0.40439540239478267
France_Uganda,0.13397054762065652,0.01827918306966814,-0.13395491237520793,0.018292881732588636
France_Ukraine,0.40231014842547097,1.7260320343616907e-13,0.17869150747334772,0.0015834332618860018
France_United Arab Emirates,0.6253721346516259,4.7881051588857765e-35,0.4584678540509722,1.6185970884743576e-17
France_United Kingdom,0.645803081315391,5.638498185795973e-38,0.7236920734188973,1.5341219897203167e-51
France_United States,0.802065755660369,6.386028430582759e-71,0.19551724763349274,0.0005361753414820965
France_Uruguay,0.31544506747864964,1.3696090202633921e-08,0.21210422804954993,0.00016836522253783754
France_Uzbekistan,0.2817855975035003,4.561847165710428e-07,-0.24098239252820483,1.7934279634495506e-05
France_Vanuatu,-0.04179571745520799,0.4634137738954719,0.053900280055883286,0.34421676515813193
France_Vatican,0.20400438876604077,0.0002998242825623664,0.3122864330755351,1.940073200863193e-08
France_Venezuela,0.2643216519839824,2.3670454806661518e-06,-0.35531497230936643,1.1781851048367144e-10
France_Vietnam,0.30574239583456286,3.940283048028312e-08,0.22466751054929252,6.584093437747133e-05
France_Western Sahara,-0.01648110874214065,0.7725605326603721,-0.024524526832823544,0.6671089407883583
France_Yemen,-0.13326582001670398,0.01890557347697631,-0.7407391174221188,3.758265258534907e-55
France_Zambia,0.07892808086346248,0.1656791997280212,-0.30030909414549045,7.003882434913163e-08
France_Zimbabwe,0.0507334547556242,0.373348021769337,-0.40168852457731,1.894806628854378e-13
Gabon_Gambia,0.402863046552828,1.5883314956948505e-13,0.5756898744639328,9.291358328993006e-29
Gabon_Georgia,0.05318220639288721,0.3506923137864977,0.023091110308177183,0.685497690974408
Gabon_Germany,0.13145814864940503,0.020598403459450475,-0.23091776136707462,4.0446345954526e-05
Gabon_Ghana,0.7119858811055927,3.252654388368169e-49,0.9480087770773485,3.3928698735248887e-155
Gabon_Greece,0.02834790569224018,0.619048013791119,-0.07651710893103131,0.17902890692104842
Gabon_Grenada,0.20597117271943263,0.00026114916506936336,0.3251230424601295,4.593762761843182e-09
Gabon_Guatemala,0.6601885928563349,3.554165302757407e-40,0.9493210898862717,7.331374709857857e-157
Gabon_Guinea,0.7297465590705996,8.609735848409855e-53,0.906500600203733,2.294506003843349e-117
Gabon_Guinea-Bissau,0.45753519239359675,1.9155908720728903e-17,0.7723515406134798,1.1587784754812796e-62
Gabon_Guyana,0.530200259691192,7.16408741811709e-24,0.610215736759743,5.206994785511759e-33
Gabon_Haiti,0.7054455957600418,5.780533288384789e-48,0.8751416766597002,4.077093966402839e-99
Gabon_Honduras,0.7394118079974041,7.349749457332509e-55,0.8910746754248647,1.0914825337809003e-107
Gabon_Hungary,0.3815355259981592,3.516725459911437e-12,0.18735500533590801,0.0009170883181672301
Gabon_Iceland,0.10373248498229938,0.06816052741044433,-0.009266952118548074,0.8709074943795067
Gabon_India,0.2362360122050507,2.6434537235177485e-05,0.6271565700942426,2.710195110346808e-35
Gabon_Indonesia,0.29143550774311694,1.7475254655528785e-07,0.7514622354725499,1.4271812730640576e-57
Gabon_International,-0.11216880340757818,0.04847408869864385,-0.23486336857137352,2.952951043452964e-05
Gabon_Iran,-0.04459018389643035,0.4340331080696294,0.35421661382962694,1.355571165564647e-10
Gabon_Iraq,0.05041956270534123,0.3763159602045951,0.569136932399245,5.238852181800585e-28
Gabon_Ireland,0.2920292434893106,1.645404630614913e-07,0.2271200164304289,5.4470373526987524e-05
Gabon_Israel,0.33114557350017754,2.2823372424226932e-09,0.19834311190379414,0.0004429965627354033
Gabon_Italy,-0.035314097551412876,0.5356197538299283,-0.21285699606475864,0.0001593953807557071
Gabon_Jamaica,0.24374510365142427,1.4256708878284886e-05,0.5049773757968404,1.8277294150739062e-21
Gabon_Japan,0.09331069463419951,0.10103699644407636,-0.11103807811429765,0.05079908956915969
Gabon_Jordan,0.2864347801459687,2.8861538672292165e-07,0.038480407952405114,0.49965635681468534
Gabon_Kazakhstan,0.5616847552788058,3.57554951366834e-27,0.9185061453525717,3.832934150286227e-126
Gabon_Kenya,0.7154630507835221,6.81530267648055e-50,0.8816973662943781,1.7115819270971035e-102
Gabon_Kosovo,0.4780184345530965,4.1961546740960464e-19,0.7442193810291766,6.348573909107964e-56
Gabon_Kuwait,0.006529998541522938,0.908834115818764,0.7045175637658323,8.64003535725333e-48
Gabon_Kyrgyzstan,0.7537236938529313,4.247629714915423e-58,0.8165855292966127,1.7329584131317387e-75
Gabon_Laos,0.28628257776600796,2.9301206450780035e-07,0.21765218347026635,0.00011196016133283441
Gabon_Latvia,0.268654907985308,1.5900434414300828e-06,0.13246924017766096,0.01963602034790848
Gabon_Lebanon,0.06164914320781034,0.27921262464591073,-0.04395640029049235,0.44060107113960123
Gabon_Lesotho,-0.08425649188985988,0.138838884908441,-0.02056440029620307,0.7183617925146377
Gabon_Liberia,0.6793038479484107,2.7038030834739588e-43,0.8441796008611103,2.128890325810044e-85
Gabon_Libya,0.3140431152262387,1.5993150043329843e-08,0.49788330867683556,8.008646937447579e-21
Gabon_Liechtenstein,0.40573576434201974,1.0286180326898408e-13,-0.08075086137100333,0.15609175296687394
Gabon_Lithuania,0.49653435277572955,1.0565442187208877e-20,0.08541225487126132,0.13348337703761695
Gabon_Luxembourg,0.38708057296797727,1.605741685923525e-12,0.04698771960981764,0.4097023603744978
Gabon_Macedonia,0.44195963132073435,2.9622383127103006e-16,0.435220505530945,9.281608393585757e-16
Gabon_Madagascar,0.6051429474336438,2.3654774611882254e-32,0.8016989452230112,8.234587039370321e-71
Gabon_Malawi,0.2482745583077078,9.72891062342084e-06,0.6593895708388916,4.74392043057941e-40
Gabon_Malaysia,0.2759310970180735,8.024344769145976e-07,-0.15531530010971895,0.006140020398060213
Gabon_Maldives,0.23571860124852034,2.7563263563410405e-05,0.629702628451648,1.1955155267138276e-35
Gabon_Mali,0.34424041259838983,4.728386495751462e-10,0.6750932410795781,1.3776595180851144e-42
Gabon_Malta,0.4158829699000868,2.1432553668121277e-14,0.24130893497459385,1.7456823610938246e-05
Gabon_Marshall Islands,-0.06741636680483892,0.236595435354408,-0.04576828466778765,0.4219751285669977
Gabon_Mauritania,0.37532785658038265,8.312460103135758e-12,0.6190236718985829,3.5209635139259143e-34
Gabon_Mauritius,0.7906376028473756,1.3806431711931866e-67,0.18898623417950888,0.0008252339655283591
Gabon_Mexico,0.3746175400476001,9.161663814875673e-12,0.75123563484569,1.6102948574557955e-57
Gabon_Moldova,0.4461554542170572,1.4361533600191121e-16,0.8120850219391454,4.972163496872528e-74
Gabon_Monaco,0.537962300881484,1.1834321986414731e-24,0.057302940067207125,0.31457282567388417
Gabon_Mongolia,0.514166074529493,2.560009116060326e-22,0.5986227991720235,1.5910564002113054e-31
Gabon_Montenegro,0.7600591412328845,1.3264563914008803e-59,0.24502931746656184,1.28023605772809e-05
Gabon_Morocco,0.4526319671005541,4.605571247008852e-17,0.43905100794648905,4.864604688088794e-16
Gabon_Mozambique,0.44779610511531676,1.0791260138279199e-16,0.6991192730890656,8.67992461168273e-47
Gabon_Myanmar,0.19458239442148867,0.0005707994571413703,0.15488441070242592,0.006285314303340073
Gabon_Namibia,0.32399671075048964,5.226969256865028e-09,0.38645914349511523,1.7544904604603412e-12
Gabon_Nepal,0.5001307701440616,5.033795731597637e-21,0.6522253888932653,6.075550457426949e-39
Gabon_Netherlands,0.058851271500311324,0.30165391834566463,0.059139956184867316,0.2992846433466919
Gabon_New Zealand,0.5624754637898046,2.9230584400486772e-27,0.17491275311931118,0.0019943045268483424
Gabon_Nicaragua,0.19697696240026785,0.00048598549189043016,0.7407071336641314,3.819683831340704e-55
Gabon_Niger,0.6492218435795051,1.7338291349732734e-38,0.7428755972815335,1.2657772162394153e-55
Gabon_Nigeria,0.8112286792811223,9.321296688097935e-74,0.7934320820105263,2.2087374019269395e-68
Gabon_Norway,-0.011332121227776493,0.8424794774924796,0.015512686427742487,0.7855897065438259
Gabon_Oman,0.45786964069374736,1.8034005734048246e-17,0.6199271016794485,2.658035761788448e-34
Gabon_Pakistan,0.41125456147283035,4.412042175891358e-14,0.6375801334850063,9.048929811198064e-37
Gabon_Palestine,0.08233504940212218,0.14810472235567612,0.3297372933151104,2.6915995739303793e-09
Gabon_Panama,0.22448589632504562,6.676630531935133e-05,0.8747360076242876,6.5017052159251725e-99
Gabon_Papua New Guinea,0.24148906961198296,1.7198622459415944e-05,0.09476328147642513,0.0958151579143095
Gabon_Paraguay,0.26696265503840777,1.858879661870011e-06,0.6220221156329816,1.3800053162723598e-34
Gabon_Peru,0.2787247561661688,6.138710108107037e-07,0.8198239184823535,1.4614797107599468e-76
Gabon_Philippines,0.29424373017389444,1.312833723707622e-07,0.5235855591736872,3.205254095055648e-23
Gabon_Poland,0.1870778094957738,0.0009336037981988789,0.35740914205835556,9.003937892038813e-11
Gabon_Portugal,0.349077726398239,2.5941770794234646e-10,0.2368735375851432,2.5103895980416938e-05
